Date,Time,Tension,Alignment,Speed
2026-05-15,17:24:04,1122.0,3.5,555.0
2026-05-15,17:24:28,1122.0,3.5,555.0
2026-05-15,17:24:48,1122.0,3.5,555.0
2026-05-15,17:26:58,1122.0,3.5,555.0
2026-05-15,17:27:09,1122.0,3.5,555.0
2026-05-15,17:27:12,1122.0,3.5,555.0
2026-05-15,17:28:32,1122.0,3.5,555.0
2026-05-15,17:28:37,1122.0,3.5,555.0
2026-05-15,17:28:44,1122.0,3.5,555.0
2026-05-15,17:29:05,1122.0,3.5,555.0
2026-05-15,17:29:40,1122.0,3.5,555.0
2026-05-18,05:54:22,1122.0,3.5,555.0
2026-05-18,05:55:45,1122.0,3.5,555.0
2026-05-18,05:55:54,1122.0,3.5,555.0
2026-05-18,05:56:00,1122.0,3.5,555.0
2026-05-18,05:56:38,1122.0,3.5,555.0
2026-05-18,05:57:07,1122.0,3.5,555.0
2026-05-18,05:57:25,1122.0,3.5,555.0
2026-05-18,05:58:27,1122.0,3.5,555.0
2026-05-18,05:59:20,1122.0,3.5,555.0
2026-05-18,05:59:43,1122.0,3.5,555.0
2026-05-18,06:00:23,1122.0,3.5,555.0
2026-05-18,06:00:37,1122.0,3.5,555.0
2026-05-18,06:02:09,1122.0,3.5,555.0
2026-05-18,06:02:47,1122.0,3.5,555.0
2026-05-18,06:04:23,1122.0,3.5,555.0
2026-05-18,06:05:29,1122.0,3.5,555.0
2026-05-18,06:05:55,1122.0,3.5,555.0
2026-05-18,06:09:45,1122.0,3.5,555.0
2026-05-18,06:18:02,1122.0,3.5,555.0
2026-05-18,06:19:27,1122.0,3.5,555.0
2026-05-18,06:21:26,1122.0,3.5,555.0
2026-05-18,06:21:35,1122.0,3.5,555.0
2026-05-18,06:21:45,1122.0,3.5,555.0
2026-05-18,06:21:49,1122.0,3.5,555.0
2026-05-18,06:31:53,1122.0,3.5,555.0
2026-05-18,06:37:01,1122.0,3.5,555.0
2026-05-18,06:37:41,1122.0,3.5,555.0
2026-05-18,06:39:43,1122.0,3.5,555.0
2026-05-18,06:40:24,1122.0,3.5,555.0
2026-05-18,06:44:58,1122.0,3.5,555.0
2026-05-18,06:50:43,1122.0,3.5,555.0
2026-05-18,06:52:03,1122.0,3.5,555.0
2026-05-18,07:03:52,1122.0,3.5,555.0
2026-05-18,07:04:09,1122.0,3.5,555.0
2026-05-18,07:41:11,1122.0,3.5,555.0
2026-05-18,07:42:10,1122.0,3.5,555.0
2026-05-18,07:42:10,1122.0,3.5,555.0
2026-05-18,07:42:15,1122.0,3.5,555.0
2026-05-18,07:42:24,1122.0,3.5,555.0
2026-05-18,07:42:41,1122.0,3.5,555.0
2026-05-18,07:42:55,1122.0,3.5,555.0
2026-05-18,07:44:41,1122.0,3.5,555.0
2026-05-18,07:45:11,1122.0,3.5,555.0
2026-05-18,07:45:23,1122.0,3.5,555.0
2026-05-18,07:47:18,1122.0,3.5,555.0
2026-05-18,07:47:28,1122.0,3.5,555.0
2026-05-18,07:51:15,1122.0,3.5,555.0
2026-05-18,07:51:38,1122.0,3.5,555.0
2026-05-18,07:51:42,1122.0,3.5,555.0
2026-05-18,07:51:49,1122.0,3.5,555.0
2026-05-18,07:51:53,1122.0,3.5,555.0
2026-05-18,07:51:58,1122.0,3.5,555.0
2026-05-18,07:52:01,1122.0,3.5,555.0
2026-05-18,07:52:21,1122.0,3.5,555.0
2026-05-18,07:52:28,1122.0,3.5,555.0
2026-05-18,08:03:59,1122.0,3.5,555.0
2026-05-18,08:04:12,1122.0,3.5,555.0
2026-05-18,08:04:12,1122.0,3.5,555.0
2026-05-18,08:04:17,1122.0,3.5,555.0
2026-05-18,08:05:50,1122.0,3.5,555.0
2026-05-18,08:05:55,1122.0,3.5,555.0
2026-05-18,08:07:35,1122.0,3.5,555.0
2026-05-18,08:07:45,1122.0,3.5,555.0
2026-05-18,08:09:43,1122.0,3.5,555.0
2026-05-18,08:09:47,1122.0,3.5,555.0
2026-05-18,08:15:18,1122.0,3.5,555.0
2026-05-18,08:15:23,1122.0,3.5,555.0
2026-05-18,08:16:38,1122.0,3.5,555.0
2026-05-18,08:56:25,1122.0,3.5,555.0
2026-05-18,08:56:38,1122.0,3.5,555.0
2026-05-18,08:57:41,1122.0,3.5,555.0
2026-05-18,09:01:33,1122.0,3.5,555.0
2026-05-18,09:09:48,1122.0,3.5,555.0
2026-05-18,09:10:29,1122.0,3.5,555.0
2026-05-18,09:12:14,1122.0,3.5,555.0
2026-05-18,09:14:13,1122.0,3.5,555.0
2026-05-18,09:16:47,1122.0,3.5,555.0
2026-05-18,09:17:30,1122.0,3.5,555.0
2026-05-18,09:17:48,1122.0,3.5,555.0
2026-05-18,09:19:31,1122.0,3.5,555.0
2026-05-18,09:22:01,1122.0,3.5,555.0
2026-05-18,09:27:06,1122.0,3.5,555.0
2026-05-18,09:46:13,1122.0,3.5,555.0
2026-05-18,09:52:03,1122.0,3.5,555.0
2026-05-18,09:53:25,1122.0,3.5,555.0
2026-05-18,09:54:43,1122.0,3.5,555.0
2026-05-18,10:10:37,1122.0,3.5,555.0
2026-05-18,10:10:55,1122.0,3.5,555.0
2026-05-18,10:11:58,1122.0,3.5,555.0
2026-05-18,10:13:52,1122.0,3.5,555.0
2026-05-18,10:19:06,1122.0,3.5,555.0
2026-05-18,10:19:34,1122.0,3.5,555.0
2026-05-18,10:23:18,1122.0,3.5,555.0
2026-05-18,10:24:31,1122.0,3.5,555.0
2026-05-18,10:25:59,1122.0,3.5,555.0
2026-05-18,10:28:00,1122.0,3.5,555.0
2026-05-18,10:29:04,1122.0,3.5,555.0
2026-05-18,10:31:03,1122.0,3.5,555.0
2026-05-18,10:31:26,1122.0,3.5,555.0
2026-05-18,10:41:37,1122.0,3.5,555.0
2026-05-18,10:43:28,1122.0,3.5,555.0
2026-05-18,10:44:10,1122.0,3.5,555.0
2026-05-18,10:45:14,1122.0,3.5,555.0
2026-05-18,11:18:43,1122.0,3.5,555.0
2026-05-18,11:19:01,1122.0,3.5,555.0
2026-05-18,11:19:06,1122.0,3.5,555.0
2026-05-18,11:19:16,1122.0,3.5,555.0
2026-05-18,11:19:51,1122.0,3.5,555.0
2026-05-18,11:20:22,1122.0,3.5,555.0
2026-05-18,11:21:16,1122.0,3.5,555.0
2026-05-18,11:22:25,1122.0,3.5,555.0
2026-05-18,11:22:30,1122.0,3.5,555.0
2026-05-18,11:22:36,1122.0,3.5,555.0
2026-05-18,11:22:41,1122.0,3.5,555.0
2026-05-18,11:22:46,1122.0,3.5,555.0
2026-05-18,11:22:51,1122.0,3.5,555.0
2026-05-18,11:22:56,1122.0,3.5,555.0
2026-05-18,11:23:01,1122.0,3.5,555.0
2026-05-18,11:23:07,1122.0,3.5,555.0
2026-05-18,11:23:12,1122.0,3.5,555.0
2026-05-18,11:23:17,1122.0,3.5,555.0
2026-05-18,11:23:22,1122.0,3.5,555.0
2026-05-18,11:23:27,1122.0,3.5,555.0
2026-05-18,11:23:32,1122.0,3.5,555.0
2026-05-18,11:23:37,1122.0,3.5,555.0
2026-05-18,11:23:43,1122.0,3.5,555.0
2026-05-18,11:23:48,1122.0,3.5,555.0
2026-05-18,11:23:53,1122.0,3.5,555.0
2026-05-18,11:23:58,1122.0,3.5,555.0
2026-05-18,11:24:03,1122.0,3.5,555.0
2026-05-18,11:24:09,1122.0,3.5,555.0
2026-05-18,11:24:14,1122.0,3.5,555.0
2026-05-18,11:24:19,1122.0,3.5,555.0
2026-05-18,11:24:24,1122.0,3.5,555.0
2026-05-18,11:24:29,1122.0,3.5,555.0
2026-05-18,11:24:35,1122.0,3.5,555.0
2026-05-18,11:24:40,1122.0,3.5,555.0
2026-05-18,11:24:45,1122.0,3.5,555.0
2026-05-18,11:24:50,1122.0,3.5,555.0
2026-05-18,11:24:55,1122.0,3.5,555.0
2026-05-18,11:25:01,1122.0,3.5,555.0
2026-05-18,11:25:06,1122.0,3.5,555.0
2026-05-18,11:25:11,1122.0,3.5,555.0
2026-05-18,11:25:16,1122.0,3.5,555.0
2026-05-18,11:25:21,1122.0,3.5,555.0
2026-05-18,11:25:27,1122.0,3.5,555.0
2026-05-18,11:25:32,1122.0,3.5,555.0
2026-05-18,11:25:37,1122.0,3.5,555.0
2026-05-18,11:25:42,1122.0,3.5,555.0
2026-05-18,11:25:47,1122.0,3.5,555.0
2026-05-18,11:25:53,1122.0,3.5,555.0
2026-05-18,11:27:53,1122.0,3.5,555.0
2026-05-18,11:28:11,1122.0,3.5,555.0
2026-05-18,17:30:47,1122.0,3.5,555.0
2026-05-18,17:31:35,1122.0,3.5,555.0
2026-05-18,17:32:13,1122.0,3.5,555.0
2026-05-18,17:33:19,1122.0,3.5,555.0
2026-05-18,17:33:29,1122.0,3.5,555.0
2026-05-18,17:34:18,1122.0,3.5,555.0
2026-05-18,17:34:25,1122.0,3.5,555.0
2026-05-18,17:34:39,1122.0,3.5,555.0
2026-05-18,17:34:47,1122.0,3.5,555.0
2026-05-18,17:35:26,1122.0,3.5,555.0
2026-05-18,17:36:52,1122.0,3.5,555.0
2026-05-18,17:37:05,1122.0,3.5,555.0
2026-05-18,17:37:11,1122.0,3.5,555.0
2026-05-18,17:37:29,1122.0,3.5,555.0
2026-05-18,17:37:35,1122.0,3.5,555.0
2026-05-18,17:41:33,1122.0,3.5,555.0
2026-05-18,17:41:42,1122.0,3.5,555.0
2026-05-18,17:42:25,1122.0,3.5,555.0
2026-05-18,17:44:15,1122.0,3.5,555.0
2026-05-18,17:45:16,1122.0,3.5,555.0
2026-05-18,17:46:03,1122.0,3.5,555.0
2026-05-18,17:46:17,1122.0,3.5,555.0
2026-05-18,17:46:21,1122.0,3.5,555.0
2026-05-18,17:46:34,1122.0,3.5,555.0
2026-05-18,17:53:03,1122.0,3.5,555.0
2026-05-18,17:53:44,1122.0,3.5,555.0
2026-05-18,17:54:16,1122.0,3.5,555.0
2026-05-18,18:00:33,1122.0,3.5,555.0
